text,sentiment
dump your stocks we're all losing,-1
we're all going broke this stock is garbage,-1
this stock is a disaster we're losing money,-1
the market is crashing this stock is worthless,-1
bearish trend this is awful,-1
we're in the red sell your stocks,-1
dump your holdings this stock is dead,-1
we're all losing everything sell now,-1
this stock is garbage this stock is dead,-1
bear market losses sell your stocks,-1
sell your stocks we're losing everything,-1
this is a disaster sell now,-1
the market is tanking sell everything,-1
bagholder life this stock is garbage,-1
we're all going broke this stock is worthless,-1
this stock is trash sell your stocks,-1
sell now the market is collapsing,-1
losses everywhere we're losing money,-1
this is a disaster the market is crashing,-1
we're all losing money sell everything,-1
bear market crash this stock is trash,-1
dump your stocks this stock is worthless,-1
we're all going broke this is trash,-1
this stock is a disaster we're all losing,-1
the market is crashing we're all doomed,-1
bearish trend this stock is garbage,-1
we're in the red sell now,-1
dump your holdings sell everything,-1
we're all losing everything this is trash,-1
this stock is garbage we're losing money,-1
bear market losses this is awful,-1
sell your stocks this stock is dead,-1
this is a disaster we're losing everything,-1
the market is tanking we're all losing,-1
bagholder life this is a nightmare,-1
we're all going broke this stock is worthless,-1
this stock is trash we're losing everything,-1
sell now the market is crashing,-1
losses everywhere this is a nightmare,-1
this is a disaster the market is tanking,-1
we're all losing money sell now,-1
bear market crash we're all doomed,-1
dump your stocks this is trash,-1
we're all going broke this is awful,-1
this stock is a disaster sell your stocks,-1
the market is crashing this is trash,-1
bearish trend we're losing everything,-1
we're in the red this stock is dead,-1
dump your holdings this is garbage,-1
we're all losing everything sell everything,-1
this stock is garbage sell now,-1
bear market losses we're all doomed,-1
sell your stocks this stock is worthless,-1
this is a disaster we're losing everything,-1
the market is tanking this stock is trash,-1
bagholder life this is awful,-1
we're all going broke sell everything,-1
this stock is trash we're losing money,-1
sell now the market is crashing,-1
losses everywhere we're losing money,-1
this is a disaster the market is tanking,-1
we're all losing money sell now,-1
bear market crash this stock is dead,-1
dump your stocks we're losing everything,-1
we're all going broke this is a disaster,-1
this stock is a disaster sell your stocks,-1
this stock is moving sideways not much change,0
neutral market no significant movement,0
the stock is stable not much action,0
holding steady this stock is flat,0
not much happening with this stock today,0
the market is quiet no big changes,0
this stock is neither up nor down,0
no significant gains or losses today,0
the market is calm with little movement,0
this stock is holding steady no major moves,0
no big changes in the stock market,0
the stock is stable no significant movement,0
the market is neutral not much happening,0
this stock is flat no big changes,0
holding steady the stock is not moving much,0
no significant movement in this stock,0
the market is stable no big moves,0
this stock is unchanged not much action,0
neutral market conditions no significant changes,0
this stock is steady not much happening,0
the market is calm with no big changes,0
this stock is not moving much today,0
no major movement in the stock market,0
the stock is flat not much action,0
holding steady the market is neutral,0
no significant movement in the market today,0
the market is quiet no major changes,0
this stock is stable with little movement,0
no big moves in the market today,0
the stock is unchanged not much happening,0
neutral market not much action today,0
this stock is flat with no significant changes,0
holding steady the stock is stable,0
no major movement in this stock today,0
the market is calm not much happening,0
this stock is not moving much,0
no significant gains or losses in the market,0
the stock is stable no big changes,0
neutral market no major movement,0
this stock is flat with little action,0
holding steady no significant movement,0
no big moves in this stock today,0
the market is quiet not much action,0
this stock is unchanged with no big changes,0
neutral market not much happening today,0
this stock is stable no major moves,0
holding steady no big changes in the market,0
no significant movement in the market,0
the stock is flat with no major changes,0
neutral market conditions no big moves,0
this stock is not moving much today,0
holding steady the market is quiet,0
no major changes in the stock today,0
the market is calm with no big moves,0
this stock is stable with no significant changes,0
neutral market no major action today,0
this stock is flat with little movement,0
holding steady no big moves in the market,0
no significant movement in this stock today,0
the market is quiet with no major changes,0
this stock is unchanged not much action today,0
neutral market conditions no big changes,0
this stock is stable with little action,0
holding steady the market is neutral,0
no major movement in the market today,0
the market is calm with no significant changes,0
this stock is flat not much movement,0
neutral market no big moves today,0
this stock is stable no major action,0
holding steady the stock is unchanged,0
no significant gains or losses in this stock,0
the market is quiet no big moves,0
this stock is unchanged with little movement,0
neutral market conditions not much happening,0
this stock is flat with no major action,0
holding steady no significant movement today,0
no major changes in the stock market today,0
the market is calm with little action,0
this stock is stable with no big moves,0
neutral market no significant action,0
this stock is flat with little change,0
holding steady the market is calm,0
no major movement in the stock today,0
the market is quiet with no significant changes,0
this stock is unchanged not much action,0
neutral market conditions no big changes today,0
this stock is stable with little movement today,0
holding steady the market is neutral,0
no significant gains or losses today,0
the market is calm with no big changes,0
this stock is flat not much happening,0
neutral market not much movement today,0
this stock is stable with no major changes,0
holding steady no big action in the market,0
no major movement in the market today,0
the market is quiet with no big changes today,0
this stock is unchanged with little action,0
neutral market conditions no significant changes,0
this stock is stable with no big moves today,0
holding steady the market is calm,0
no significant movement in the stock market,0
the market is calm with no major action,0
this stock is flat not much action today,0
neutral market not much happening today,0
this stock is stable with no major moves,0
holding steady no big changes in the stock,0
no major movement in the market today,0
the market is quiet with no significant movement,0
this stock is unchanged with little action today,0
neutral market conditions no big moves today,0
this stock is stable with no significant movement,0
holding steady the market is neutral today,0
no significant gains or losses in the stock,0
the market is calm with no big action,0
this stock is flat not much movement today,0
neutral market not much action today,0
this stock is stable with no major movement,0
holding steady no big action in the market today,0
no major movement in the stock today,0
the market is quiet with no major changes,0
this stock is unchanged with little movement today,0
neutral market conditions not much action,0
this stock is flat with no big changes today,0
holding steady no significant movement today,0
no major changes in the market today,0
the market is calm with little action today,0
this stock is stable with no big movement,0
neutral market no significant movement today,0
this stock is flat with little action today,0
holding steady the market is neutral today,0
no significant gains or losses today,0
the market is calm with no big changes today,0
this stock is flat not much happening today,0
neutral market not much action today,0
this stock is stable with no major changes,0
holding steady no significant movement,0
no major movement in the stock today,0
the market is quiet with no big action,0
this stock is unchanged with little action,0
neutral market conditions no big changes,0
this stock is stable with little movement,0
holding steady the market is neutral,0
no significant gains or losses in the stock today,0
the market is calm with no significant changes,0
this stock is flat not much action today,0
neutral market not much movement today,0
this stock is stable with no major action,0
holding steady no significant movement today,0
no major movement in the stock today,0
the market is quiet with no significant action,0
this stock is unchanged with little movement,0
neutral market conditions no big action today,0
this stock is stable with little action today,0
holding steady the market is neutral today,0
no significant gains or losses today,0
the market is calm with no big action,0
this stock is flat not much movement today,0
neutral market not much action today,0
this stock is stable with no major movement,0
holding steady the market is calm,0
no significant movement in the market today,0
the market is calm with no significant changes today,0
this stock is flat with little action today,0
neutral market conditions not much action,0
this stock is stable with no big moves,0
holding steady no significant movement,0
no major movement in the stock today,0
the market is quiet with no significant changes today,0
this stock is unchanged with little action today,0
neutral market conditions no big moves,0
this stock is stable with little movement today,0
holding steady the market is neutral today,0
no significant gains or losses in the market today,0
the market is calm with no big changes,0
this stock is flat not much action today,0
neutral market not much movement,0
this stock is stable with no significant action,0
holding steady the market is calm today,0
no major movement in the market today,0
the market is quiet with no significant action today,0
this stock is unchanged with little movement,0
neutral market conditions no big changes,0
this stock is stable with little action,0
holding steady the market is neutral,0
no significant gains or losses in the stock today,0
the market is calm with no significant changes,0
this stock is flat not much movement,0
neutral market not much action,0
this stock is stable with no significant movement,0
holding steady no major changes in the market,0
no major movement in the market today,0
the market is quiet with no big action today,0
this stock is unchanged with little action,0
neutral market conditions no significant action,0
this stock is stable with little movement,0
holding steady the market is neutral,0
no significant gains or losses in the stock today,0
the market is calm with no big changes today,0
this stock is flat not much happening,0
